"MessageID","Waktu","Magnitudo","Kedalaman","Lintang","Bujur","Lokasi","Dirasakan","RawText","EventID"
"31320","25-Jan-26 15:17:48","1.8","5","4.2","97.4","24 km Utara KAB-GAYOLUES-ACEH","","Info Gempa Mag:1.8, 25-Jan-26 15:17:48 WIB, Lok: 4.20 LU - 97.40 BT (24 km Utara KAB-GAYOLUES-ACEH), Kedlmn: 5 km ::BMKG",""
"31332","25-Jan-26 18:37:42","2.8","31","4.1","95.98","17 km Barat MEULABOH-ACEHBARAT","","Info Gempa Mag:2.8, 25-Jan-26 18:37:42 WIB, Lok: 4.10 LU - 95.98 BT (17 km Barat MEULABOH-ACEHBARAT), Kedlmn: 31 km ::BMKG",""
"31343","25-Jan-26 20:10:21","2.3","29","5.05","95.16","54 km Barat Daya JANTHO-ACEHBESAR","","Info Gempa Mag:2.3, 25-Jan-26 20:10:21 WIB, Lok: 5.05 LU - 95.16 BT (54 km Barat Daya JANTHO-ACEHBESAR), Kedlmn: 29 km ::BMKG",""
"31550","27-Jan-26 02:35:27","2.3","8","5.3","95.71","13 km Timur Laut JANTHO-ACEHBESAR","","Info Gempa Mag:2.3, 27-Jan-26 02:35:27 WIB, Lok: 5.30 LU - 95.71 BT (13 km Timur Laut JANTHO-ACEHBESAR), Kedlmn: 8 km ::BMKG",""
"31574","27-Jan-26 06:37:52","1.5","1","4.2","97.46","26 km Timur Laut KAB-GAYOLUES-ACEH","","Info Gempa Mag:1.5, 27-Jan-26 06:37:52 WIB, Lok: 4.20 LU - 97.46 BT (26 km Timur Laut KAB-GAYOLUES-ACEH), Kedlmn: 1 km ::BMKG",""
"31603","27-Jan-26 12:50:48","2.5","7","4.75","96.76","12 km Barat KAB-BENERMERIAH-ACEH","bener meriah II - III MMI","Info Gempa Mag:2.5, 27-Jan-26 12:50:48 WIB, Lok: 4.75 LU - 96.76 BT (12 km Barat KAB-BENERMERIAH-ACEH), Kedlmn: 7 km ::BMKG",""
"31653","27-Jan-26 17:33:45","2.4","5","4.14","97.48","23 km Timur Laut KAB-GAYOLUES-ACEH","","Info Gempa Mag:2.4, 27-Jan-26 17:33:45 WIB, Lok: 4.14 LU - 97.48 BT (23 km Timur Laut KAB-GAYOLUES-ACEH), Kedlmn: 5 km ::BMKG",""
"31655","27-Jan-26 17:34:48","2.5","5","4.19","97.43","24 km Timur Laut KAB-GAYOLUES-ACEH","","Info Gempa Mag:2.5, 27-Jan-26 17:34:48 WIB, Lok: 4.19 LU - 97.43 BT (24 km Timur Laut KAB-GAYOLUES-ACEH), Kedlmn: 5 km ::BMKG",""
"31695","27-Jan-26 21:16:40","2.4","1","4.21","97.45","27 km Timur Laut KAB-GAYOLUES-ACEH","","Info Gempa Mag:2.4, 27-Jan-26 21:16:40 WIB, Lok: 4.21 LU - 97.45 BT (27 km Timur Laut KAB-GAYOLUES-ACEH), Kedlmn: 1 km ::BMKG",""
"31721","27-Jan-26 23:09:21","2.9","10","1.4","95.74","138 km Barat Daya SINABANG-ACEH","","Info Gempa Mag:2.9, 27-Jan-26 23:09:21 WIB, Lok: 1.40 LU - 95.74 BT (138 km Barat Daya SINABANG-ACEH), Kedlmn: 10 km ::BMKG",""
"31816","28-Jan-26 04:24:45","2.1","6","4.45","96.54","35 km Timur Laut KAB-NAGANRAYA-ACEH","","Info Gempa Mag:2.1, 28-Jan-26 04:24:45 WIB, Lok: 4.45 LU - 96.54 BT (35 km Timur Laut KAB-NAGANRAYA-ACEH), Kedlmn: 6 km ::BMKG",""
"31882","28-Jan-26 10:36:47","2.5","10","5.74","95.59","35 km Tenggara KOTA-SABANG-ACEH","","Info Gempa Mag:2.5, 28-Jan-26 10:36:47 WIB, Lok: 5.74 LU - 95.59 BT (35 km Tenggara KOTA-SABANG-ACEH), Kedlmn: 10 km ::BMKG",""
